OBJECTID,TRL_NAME,PARK_NAME,TRL_ID,SEG_ID,FEATURE,FEAT_CMNT,ELEV_FT,CITY_JUR,ZIP_CODE,SUP_DIST,X_STREET,PARKING,PHOTO,LAT,LON,FID,x,y
7790,North Grasslands Trail,CA State Parks - Malibu Creek,10127,101270000,TH,Auto Generated and Verified,584,Unincorporated Los Angeles County,91302,3rd District,26951 Mulholland Hwy,ST,,34.10349595,-118.71383463,23,-118.71383463,34.10349595
7791,Kanan - Edison Road,National Parks Service,20071,200710008,TAPO,Auto Generated and Verified,113,Malibu,90265,3rd District,End of Bonsall Drive,SA,,34.03448596,-118.81219041,24,-118.81219041,34.03448596
7794,Park Entrance Road,CA State Parks - Malibu Creek,10129,101290000,TAPO,Auto Generated and Verified,539,Unincorporated Los Angeles County,91302,3rd District,27347 Waycross Dr,SA,,34.0959552,-118.71705847,25,-118.71705847,34.0959552
7799,Peter Strauss Ranch Loop Trail,National Parks Service,20100,201000000,TAPO,Auto Generated and Verified,761,Unincorporated Los Angeles County,91301,3rd District,Waring Drive and Mullholland Hwy,SA,,34.11300414,-118.77951743,26,-118.77951743,34.11300414
7801,Phantom Trail,CA State Parks - Malibu Creek,10132,101320000,TAPO,Auto Generated and Verified,1007,Unincorporated Los Angeles County,91302,3rd District,27663 Mulholland Hwy,ST,,34.10614389,-118.73228731,27,-118.73228731,34.10614389
7802,Polo Field Road,CA State Parks - Will Rogers,10136,101360000,TAPO,Auto Generated and Verified,426,Los Angeles,90272,3rd District,1798 Will Rogers State Park Rd,SA,,34.05460117,-118.51076068,28,-118.51076068,34.05460117
7804,Potrero Road,National Parks Service,20102,201020000,TAPO,Auto Generated and Verified,1333,Malibu,90265,3rd District,Encinal Canyon Rod and Carmichael Rd,SA,,34.05441893,-118.8798419,29,-118.8798419,34.05441893
7805,Potrero Road,National Parks Service,20102,201020000,TAPO,Auto Generated and Verified,1457,Unincorporated Los Angeles County,90265,3rd District,Potrero Rd,SA,,34.06107711,-118.88078973,30,-118.88078973,34.06107711
7808,Ramirez Accessible Trail,National Parks Service,20105,201050000,TAPO,Auto Generated and Verified,246,Unincorporated Los Angeles County,90265,3rd District,None,N,,34.03867392,-118.79401621,31,-118.79401621,34.03867392
7810,Ranch House Trail - Upper,CA State Parks - Will Rogers,10141,101410000,TH,Auto Generated and Verified,449,Los Angeles,90272,3rd District,1677 Will Rogers State Park Rd,SA,,34.05461208,-118.51321084,32,-118.51321084,34.05461208
7811,Red Rock Road,National Parks Service,20106,201060000,TAPO,Auto Generated and Verified,988,Unincorporated Los Angeles County,90290,3rd District,1277 Old Topanga Canyon Rd,ST,,34.1042316,-118.62829936,33,-118.62829936,34.1042316
7812,Red Rock Trail,National Parks Service,20107,201070000,TAPO,Auto Generated and Verified,1508,Unincorporated Los Angeles County,90290,3rd District,,ST,,34.10937642,-118.64114592,34,-118.64114592,34.10937642
7813,Reseda Spur Trail,CA State Parks - Topanga,10142,101420000,TH,Auto Generated and Verified,1611,Los Angeles,91356,3rd District,3001 Reseda Blvd,ST,,34.13047896,-118.55299776,35,-118.55299776,34.13047896
7814,Ridge-Canyon Access Trail,National Parks Service,20108,201080000,TH,Auto Generated and Verified,426,Malibu,90265,3rd District,5555 Busch Dr,SA,,34.03400787,-118.81809649,36,-118.81809649,34.03400787
7815,Rising Sun Trail,National Parks Service,20109,201090000,TH,Auto Generated and Verified,299,Malibu,90265,3rd District,North of Solstice Canyon Rd and Corral Canyon Rd,SA,,34.0390797,-118.74991209,37,-118.74991209,34.0390797
7818,Rocky Oaks Loop Trail,National Parks Service,20112,201120000,TH,Confirmed with NPS data points,1709,Unincorporated Los Angeles County,90265,3rd District,31520 Mulholland Hwy,SA,,34.09706364,-118.81409729,38,-118.81409729,34.09706364
7819,Rustic Canyon Trail,CA State Parks - Topanga,30007,300070000,TAPO,Auto Generated and Verified,415,Los Angeles,90272,3rd District,1666 Will Rogers State Park Rd,SA,,34.0544161,-118.50962649,39,-118.50962649,34.0544161
7820,Santa Maria Canyon Trail,National Parks Service,20114,201140000,TH,Auto Generated and Verified,1457,Unincorporated Los Angeles County,90290,3rd District,3110 N Summit Pointe Dr,ST,,34.13276493,-118.59133685,40,-118.59133685,34.13276493
7823,Morrison Open Space SCE Road Trail,National Parks Service,20115,201150000,TH,Auto Generated and Verified,863,Calabasas,91302,3rd District,6063 Las Virgenes Rd,ST,,34.16761713,-118.7030497,41,-118.7030497,34.16761713
7824,Sostomo Trail,National Parks Service,20118,201180000,TH,Auto Generated and Verified,368,Unincorporated Los Angeles County,90265,3rd District,Roberts Rd,ST,,34.04915457,-118.75414081,42,-118.75414081,34.04915457
7825,South Bay Bicycle Trail,CA State Parks - Will Rogers,10153,101530000,TAPO,Auto Generated and Verified,22,Los Angeles,90272,3rd District,15314 Pacific Coast Hwy,ST,,34.03219919,-118.52879527,43,-118.52879527,34.03219919
7826,South Bay Bicycle Trail,CA State Parks - Will Rogers,10153,101530000,TAPO,Auto Generated and Verified,24,Los Angeles,90272,3rd District,16300 Pacific Coast Hwy,ST,,34.03698547,-118.53916877,44,-118.53916877,34.03698547
7827,South Beach Access Trail,CA State Parks - Leo Carrillo,10154,101540000,TAPO,Auto Generated and Verified,11,Unincorporated Los Angeles County,90265,3rd District,35907 Pacific Coast Hwy,SA,,34.04572343,-118.93436667,45,-118.93436667,34.04572343
7829,Sullivan Ridge Fire Road,CA State Parks - Topanga,10158,101580000,TAPO,Auto Generated and Verified,965,Los Angeles,90272,3rd District,Sullivan Fire Rd,ST,,34.08108023,-118.51629918,46,-118.51629918,34.08108023
7830,Summer Hill Ranch Road,National Parks Service,20119,201190000,TH,Auto Generated and Verified,1219,Unincorporated Los Angeles County,90290,3rd District,2164 Santa Maria Rd,ST,,34.12377639,-118.58805605,47,-118.58805605,34.12377639
7832,Summit-to-Summit - Santa Maria Cyn Connector,National Parks Service,20120,201200000,TH,Auto Generated and Verified,1457,Unincorporated Los Angeles County,90290,3rd District,3110 N Summit Pointe Dr,ST,,34.13276493,-118.59133685,48,-118.59133685,34.13276493
7834,Tapia Spur Trail,CA State Parks - Malibu Creek,10163,101630000,TH,Auto Generated and Verified,471,Unincorporated Los Angeles County,91302,3rd District,Piuma Road and Malibu Canyon Rd,SA,,34.08269423,-118.70637079,49,-118.70637079,34.08269423
7836,Three Park Trail,National Parks Service,20122,201220000,TH,Auto Generated and Verified,1326,Unincorporated Los Angeles County,90265,3rd District,Carmichael Rd,SA,,34.05836011,-118.87920613,50,-118.87920613,34.05836011
7838,Topanga Community House Trail,CA State Parks - Topanga,10168,101680000,TAPO,Auto Generated and Verified,1137,Unincorporated Los Angeles County,90290,3rd District,Topanga Canyon Boulevard and Oakwood Drive,SA,,34.11072135,-118.58875865,51,-118.58875865,34.11072135
7839,Topanga Knoll Trail,CA State Parks - Topanga,10169,101690000,TAPO,Auto Generated and Verified,37,Unincorporated Los Angeles County,90265,3rd District,3989 Topanga Canyon Ln,SA,,34.0398352,-118.58194229,52,-118.58194229,34.0398352
7841,Trancas-Edison Road,National Parks Service,20125,201250000,TAPO,Auto Generated and Verified,903,Unincorporated Los Angeles County,90265,3rd District,,ST,,34.06268162,-118.84240706,53,-118.84240706,34.06268162
7842,Trancas Canyon SCE Road Trail ,CA State Parks - Malibu Creek,30001,300010000,TAPO,Auto Generated and Verified,1619,Unincorporated Los Angeles County,90265,3rd District,1063 Encinal Canyon Rd,SA,,34.08421021,-118.8470213,54,-118.8470213,34.08421021
7844,Tuna Canyon Main Entrance Trail,National Parks Service,20127,201270000,TH,Auto Generated and Verified,1555,Unincorporated Los Angeles County,90290,3rd District,3200 Tuna Canyon Rd,ST,,34.05968704,-118.61654529,55,-118.61654529,34.05968704
7845,Upper Encina Trail,CA State Parks - Topanga,10172,101720000,TAPO,Auto Generated and Verified,1056,Unincorporated Los Angeles County,90290,3rd District,21285 Entrada Rd,SA,,34.09300197,-118.59727006,56,-118.59727006,34.09300197
7846,Upper Rustic Canyon Trail,CA State Parks - Topanga,10173,101730000,TAPO,Auto Generated and Verified,1247,Los Angeles,90272,3rd District,,ST,,34.12139753,-118.54295474,57,-118.54295474,34.12139753
7847,Upper Stunt High Trail,National Parks Service,20128,201280000,TH,Auto Generated and Verified,1558,Unincorporated Los Angeles County,91302,3rd District,1213 Stunt Rd,ST,,34.09084031,-118.657153,58,-118.657153,34.09084031
7849,Wayview Road,CA State Parks - Topanga,10175,101750000,TAPO,Auto Generated and Verified,1261,Unincorporated Los Angeles County,90290,3rd District,20878 Entrada Rd,ST,,34.09200014,-118.58894613,59,-118.58894613,34.09200014
7850,Western Town Road A,National Parks Service,20129,201290000,TH,Auto Generated and Verified,738,Unincorporated Los Angeles County,91301,3rd District,Paramount Ranch Rd,SA,,34.11550054,-118.75525222,60,-118.75525222,34.11550054
7851,Western Town Road B,National Parks Service,20130,201300000,TAPO,Auto Generated and Verified,744,Unincorporated Los Angeles County,91301,3rd District,Paramount Ranch Rd,SA,,34.11533303,-118.75633614,61,-118.75633614,34.11533303
7852,Inspiration Point Loop Trail,CA State Parks - Will Rogers,10083,100830000,TAPO,Auto Generated and Verified,486,Los Angeles,90272,3rd District,1666 Will Rogers State Park Rd,SA,,34.05659278,-118.51230395,62,-118.51230395,34.05659278
7853,Pasture Trail,CA State Parks - Will Rogers,10131,101310000,TH,Auto Generated and Verified,497,Los Angeles,90272,3rd District,1666 Will Rogers State Park Rd,SA,,34.05669021,-118.51278612,63,-118.51278612,34.05669021
7854,Rivas Canyon Trail,CA State Parks - Will Rogers,30015,300150000,TAPO,Auto Generated and Verified,445,Los Angeles,90272,3rd District,1677 Will Rogers State Park Rd,SA,,34.05461471,-118.51335177,64,-118.51335177,34.05461471
7855,Malibu Scenic Overlook Trail,CA State Parks - Leo Carrillo,10110,101760000,TAPO,,18,Unincorporated Los Angeles County,90265,3rd District,35907 Pacific Coast Hwy,SA,,34.04683663,-118.93306537,65,-118.93306537,34.04683663
7858,Yearling Trail,CA State Parks - Malibu Creek,10179,101790000,TAPO,Auto Generated and Verified,838,Unincorporated Los Angeles County,91301,3rd District,28998 Mulholland Hwy,SA,,34.11307697,-118.75112705,66,-118.75112705,34.11307697
7859,Yellow Hill Fire Road,CA State Parks - Leo Carrillo,10180,101800000,TAPO,Auto Generated and Verified,23,Unincorporated Los Angeles County,90265,3rd District,35399 Mulholland Hwy,SA,,34.04629397,-118.93519105,67,-118.93519105,34.04629397
7861,Yucca Trail,National Parks Service,20132,201320000,TH,Auto Generated and Verified,1098,Unincorporated Los Angeles County,91302,3rd District,2002 Stunt Rd,ST,,34.10017112,-118.65397436,68,-118.65397436,34.10017112
7863,Zuma Edison Road,National Parks Service,20135,201350000,TH,Confirmed with NPS data points,1323,Unincorporated Los Angeles County,90265,3rd District,2615 S Kanan Dume Rd,ST,,34.06138582,-118.80406238,69,-118.80406238,34.06138582
7864,Zuma Loop Trail,National Parks Service,20136,201360000,TAPO,Auto Generated and Verified,112,Malibu,90265,3rd District,End of Bonsall Drive,SA,,34.03415266,-118.81225616,70,-118.81225616,34.03415266
7865,Zuma Ridge Motorway,National Parks Service,20137,201370000,TH,Auto Generated and Verified,426,Malibu,90265,3rd District,5555 Busch Dr,SA,,34.03400787,-118.81809649,71,-118.81809649,34.03400787
7867,Solstice Canyon Trail,National Parks Service,20117,201170000,TH,Added From NPS ParkEntrancePts.shp,51,Malibu,90265,3rd District,3998 Solstice Canyon Rd,SA,,34.03494817,-118.74450966,72,-118.74450966,34.03494817
7868,Nicholas Ridge Trail,CA State Parks - Leo Carrillo,10126,,TAPO,Added per Dale's request,1483,Unincorporated Los Angeles County,90265,3rd District,33700 Decker School Rd,ST,,34.07061305,-118.90648716,73,-118.90648716,34.07061305
7870,Piuma Connector Trail, ,10135,101350000,TAPO,Added From NPS ParkEntrancePts.shp,493,Unincorporated Los Angeles County,91302,3rd District,Mesa Peak Tractor Way and Malibu Canyon Rd,SA,,34.07994189,-118.70385553,74,-118.70385553,34.07994189
7876,Mulholland Drive, ,20090,200900002,TH,Added From hard copy maps and state parks data,1879,Los Angeles,90049,3rd District,17460 Mulholland Dr,SA,,34.12904371,-118.51352284,75,-118.51352284,34.12904371
7879,Bulldog Motorway,CA State Parks - Malibu Creek,30005,300050009,TAPO,Auto Generated and Verified,690,Unincorporated Los Angeles County,91301,3rd District,28848 Lake Vista Dr,SA,,34.09715876,-118.74874438,76,-118.74874438,34.09715876
7880,California Coastal Trail,National Parks Service,10187,101870005,TAPO,Auto Generated and Verified,8,Malibu,90265,3rd District,23314 Malibu Colony Rd,SA,,34.0315031,-118.68185631,77,-118.68185631,34.0315031
7884,Backbone Trail - Piuma Ridge, ,10018,100180000,TAPO,,485,Unincorporated Los Angeles County,91302,3rd District,897 Las Virgenes Rd,SA,,34.08316434,-118.70550111,78,-118.70550111,34.08316434
7885,Nicholas Flat Trail, ,10121,101210000,TAPO,,13,Unincorporated Los Angeles County,90265,3rd District,35789 Pacific Coast Hwy,SA,,34.04620493,-118.9337354,79,-118.9337354,34.04620493
7886,Pipe Corral Trail,CA State Parks - Will Rogers,10134,101340000,TAPO,Auto Generated and Verified,430,Los Angeles,90272,3rd District,14400 Villa Woods Pl,SA,,34.05453293,-118.51178947,80,-118.51178947,34.05453293
7887,Talepop Trail, ,10162,101620000,TAPO,,549,Unincorporated Los Angeles County,91302,3rd District,27357 Waycross Dr,SA,,34.09675616,-118.71632979,81,-118.71632979,34.09675616
7888,Winfield Trail, ,10177,101770000,TAPO,,1184,Unincorporated Los Angeles County,90290,3rd District,Entrada Rd,SA,,34.09340166,-118.587802,82,-118.587802,34.09340166
7889,Temescal Canyon Trail, ,30014,300140000,TAPO,,325,Los Angeles,90272,3rd District,965 Temescal Canyon Rd,SA,,34.05316267,-118.5285875,83,-118.5285875,34.05316267
7890,Bent Arrow Trail, ,10030,100300000,TAPO,,1724,Los Angeles,91356,3rd District,3001 Reseda Blvd,ST,,34.12863336,-118.553766,84,-118.553766,34.12863336
7891,Temescal Ridge Trail, ,30013,300130001,TAPO,,1184,Unincorporated Los Angeles County,90290,3rd District,Entrada Rd,ST,,34.09340166,-118.587802,85,-118.587802,34.09340166
7892,Chaparral Trail, ,10044,100440000,TAPO,,549,Unincorporated Los Angeles County,91302,3rd District,27359 Waycross Dr,SA,,34.0967567,-118.71623806,86,-118.71623806,34.0967567
7893,Lost Cabin Trail, ,10107,101070000,TAPO,,549,Unincorporated Los Angeles County,91302,3rd District,27359 Waycross Dr,SA,,34.0967567,-118.71623806,87,-118.71623806,34.0967567
7894,Mott Road, ,10114,101140000,TAPO,,549,Unincorporated Los Angeles County,91302,3rd District,27359 Waycross Dr,SA,,34.0967567,-118.71623806,88,-118.71623806,34.0967567
7895,Liberty Canyon Fire Road,CA State Parks - Malibu Creek,10097,100970000,TH,Auto Generated and Verified,733,Agoura Hills,91301,3rd District,27353 Park Vista Rd,ST,,34.12771455,-118.72398417,89,-118.72398417,34.12771455
7896,Phantom Trail,CA State Parks - Malibu Creek,10132,101320000,TAPO,Added From NPS ParkEntrancePts.shp,733,Agoura Hills,91301,3rd District,27353 Park Vista Rd,ST,,34.12771455,-118.72398417,90,-118.72398417,34.12771455
7897,Tapia Spur Trail, ,10163,101630000,TAPO,,549,Unincorporated Los Angeles County,91302,3rd District,27359 Waycross Dr,SA,,34.0967567,-118.71623806,91,-118.71623806,34.0967567
7898,Bulldog Motorway, ,30005,300050009,TAPO,,690,Unincorporated Los Angeles County,91302,3rd District,27359 Waycross Dr,SA,,34.09715876,-118.74874438,92,-118.74874438,34.09715876
7899,Backbone Trail - Mesa Peak Motorway, ,10014,100140000,TAPO,,472,Unincorporated Los Angeles County,91302,3rd District,26261 Piuma Rd,SA,,34.0820577,-118.70432725,93,-118.70432725,34.0820577
7900,Mott Road,CA State Parks - Malibu Creek,10114,101140000,TAPO,Auto Generated and Verified,539,Unincorporated Los Angeles County,91302,3rd District,27347 Waycross Dr,SA,,34.0959552,-118.71705847,94,-118.71705847,34.0959552
7901,Tapia Spur Trail,CA State Parks - Malibu Creek,10163,101630000,TAPO,Auto Generated and Verified,539,Unincorporated Los Angeles County,91302,3rd District,27347 Waycross Dr,SA,,34.0959552,-118.71705847,95,-118.71705847,34.0959552
7902,California Coastal Trail,National Parks Service,10187,101870008,TAPO,Auto Generated and Verified,10,Unincorporated Los Angeles County,90265,3rd District,18652 Pacific Coast Hwy,SA,,34.0386948,-118.58163761,96,-118.58163761,34.0386948
7903,Inspiration Point Loop ADA Trail,CA State Parks - Will Rogers,10183,101830000,TAPO,Auto Generated and Verified,485,Los Angeles,90272,3rd District,1666 Will Rogers State Park Rd,SA,,34.05622642,-118.51297925,97,-118.51297925,34.05622642
7905,Kanan - Edison Road,National Parks Service,20071,200710001,TAPO,Auto Generated and Verified,493,Malibu,90265,3rd District,,ST,,34.03415825,-118.80035747,98,-118.80035747,34.03415825
7906,Backbone Trail,National Parks Service - Topanga,30012,200060000,TH,Auto Generated and Verified,1184,Unincorporated Los Angeles County,90290,3rd District,20801 Entrada Rd,SA,,34.09359514,-118.58745787,99,-118.58745787,34.09359514
7907,Backbone Trail,National Parks Service,30012,200070000,TH,Auto Generated and Verified,1397,Unincorporated Los Angeles County,90265,3rd District,1063 Encinal Canyon Rd,SA,,34.08509415,-118.86148466,100,-118.86148466,34.08509415
7908,Backbone Trail,CA State Parks - Topanga,30012,100090000,TAPO,Auto Generated and Verified,2397,Unincorporated Los Angeles County,90290,3rd District,24745 Saddle Peak Rd,SA,,34.08204765,-118.64411248,101,-118.64411248,34.08204765
7909,Backbone Trail,CA State Parks - Topanga,30012,100090000,TAPO,Auto Generated and Verified,2353,Unincorporated Los Angeles County,90290,3rd District,23809 Saddle Peak Rd,SA,,34.08384526,-118.63591572,102,-118.63591572,34.08384526
7910,Backbone Trail,CA State Parks - Topanga,30012,100100000,TAPO,Auto Generated and Verified,2353,Unincorporated Los Angeles County,90290,3rd District,23809 Saddle Peak Rd,SA,,34.08384526,-118.63591572,103,-118.63591572,34.08384526
7911,Backbone Trail,CA State Parks - Topanga,30012,100100000,TH,Auto Generated and Verified,790,Unincorporated Los Angeles County,90290,3rd District,325 Old Topanga Canyon Rd,ST,,34.09304197,-118.60920706,104,-118.60920706,34.09304197
7912,Backbone Trail,National Parks Service,30012,200100000,TH,Confirmed with NPS data points,2044,Unincorporated Los Angeles County,90265,3rd District,1770 Latigo Canyon Rd,SA,,34.07790737,-118.79391645,105,-118.79391645,34.07790737
7913,Backbone Trail,CA State Parks - Will Rogers,30012,100120000,TAPO,Auto Generated and Verified,426,Los Angeles,90272,3rd District,1666 Will Rogers State Park Rd,SA,,34.0543065,-118.51317308,106,-118.51317308,34.0543065
7914,Backbone Trail,CA State Parks - Malibu Creek,30012,100140000,TH,Auto Generated and Verified,1992,Unincorporated Los Angeles County,90265,3rd District,Castro Peak Mtwy,SA,,34.08200797,-118.75840606,107,-118.75840606,34.08200797
7915,Backbone Trail,National Parks Service,30012,200120000,TH,Confirmed with NPS data points,1540,Unincorporated Los Angeles County,90265,3rd District,1701 S Kanan Dume Rd,SA,,34.07613002,-118.81594009,108,-118.81594009,34.07613002
7916,Backbone Trail,National Parks Service,30012,200120000,TH,Confirmed with NPS data points,2044,Unincorporated Los Angeles County,90265,3rd District,1770 Latigo Canyon Rd,SA,,34.07790737,-118.79391645,109,-118.79391645,34.07790737
7917,Backbone Trail,CA State Parks - Topanga,30012,100160000,TH,Auto Generated and Verified,790,Unincorporated Los Angeles County,90290,3rd District,325 Old Topanga Canyon Rd,ST,,34.09304197,-118.60920706,110,-118.60920706,34.09304197
7918,Backbone Trail,CA State Parks - Topanga,30012,100070000,TAPO,Auto Generated and Verified,851,Unincorporated Los Angeles County,90290,3rd District,21943 Entrada Rd,SA,,34.0945216,-118.60088718,111,-118.60088718,34.0945216
7919,Backbone Trail,CA State Parks - Malibu Creek,30012,100180000,TH,Auto Generated and Verified,463,Unincorporated Los Angeles County,91302,3rd District,26278 Piuma Rd,SA,,34.08180404,-118.70337732,112,-118.70337732,34.08180404
7920,Backbone Trail,CA State Parks - Malibu Creek,30012,300020000,TH,Auto Generated and Verified,2374,Unincorporated Los Angeles County,90290,3rd District,24839 Saddle Peak Rd,SA,,34.08127044,-118.64508228,113,-118.64508228,34.08127044
7921,Backbone Trail,National Parks Service,30012,200160000,TH,Auto Generated and Verified,2374,Unincorporated Los Angeles County,90290,3rd District,24839 Saddle Peak Rd,SA,,34.08127044,-118.64508228,114,-118.64508228,34.08127044
7922,Backbone Trail,National Parks Service,30012,200160000,TAPO,Auto Generated and Verified,2397,Unincorporated Los Angeles County,90290,3rd District,24745 Saddle Peak Rd,SA,,34.08204765,-118.64411248,115,-118.64411248,34.08204765
7923,Backbone Trail,CA State Parks - Malibu Creek,30012,300040000,TH,Auto Generated and Verified,1992,Unincorporated Los Angeles County,90265,3rd District,Castro Peak Mtwy,SA,,34.08200797,-118.75840606,116,-118.75840606,34.08200797
7634,Ann Skager Trail,CA State Parks - Malibu Creek,10004,100040000,TAPO,Auto Generated and Verified,540,Unincorporated Los Angeles County,91302,3rd District,27371 Waycross Dr,SA,,34.09632877,-118.71438438,117,-118.71438438,34.09632877
7635,Arroyo Sequit Entrance Road,National Parks Service,20003,200030000,TH,Auto Generated and Verified,1095,Unincorporated Los Angeles County,90265,3rd District,34136 Mulholland Hwy,SA,,34.08919965,-118.89083761,118,-118.89083761,34.08919965
7636,Arroyo Sequit Loop Trail,National Parks Service,20004,200040000,TH,Auto Generated and Verified,1156,Unincorporated Los Angeles County,90265,3rd District,34136 Mullholland Hwy,SA,,34.08629292,-118.89096112,119,-118.89096112,34.08629292
7637,Arroyo Sequit Loop Trail,National Parks Service,20004,200040000,TH,Auto Generated and Verified,1156,Unincorporated Los Angeles County,90265,3rd District,34136 Mullholland Hwy,SA,,34.08657347,-118.89016199,120,-118.89016199,34.08657347
7638,Backbone Trail - Connector,National Parks Service,20005,200050000,TH,Confirmed with NPS data points,1576,Unincorporated Los Angeles County,90265,3rd District,1129 S Kanan Dume Rd,ST,,34.07871162,-118.81804678,121,-118.81804678,34.07871162
7639,Backbone Trail - Encinal to Mulholland,National Parks Service,20007,200070000,TH,Auto Generated and Verified,1397,Unincorporated Los Angeles County,90265,3rd District,1063 Encinal Canyon Rd,SA,,34.08509415,-118.86148466,122,-118.86148466,34.08509415
